n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mse,mae,rmse,r2,test_score,train_score
100,,20,1,sqrt,6205525.974560731,1137.5599397015772,2491.089314850178,0.9879463102931584,0.9879463102931584,0.9907654562925571
100,,20,1,log2,6205525.974560731,1137.5599397015772,2491.089314850178,0.9879463102931584,0.9879463102931584,0.9907654562925571
100,,20,2,sqrt,6294587.6893399805,1149.6553731114807,2508.9016898515533,0.9877733157268461,0.9877733157268461,0.9904428719623865
100,,20,2,log2,6294587.6893399805,1149.6553731114807,2508.9016898515533,0.9877733157268461,0.9877733157268461,0.9904428719623865
100,,20,10,sqrt,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
100,,20,10,log2,7105233.251062581,1296.5057032267048,2665.564340071832,0.9861987078526241,0.9861987078526241,0.9878543762177275
100,5,2,1,sqrt,39954807.60824092,4358.366525383992,6320.981538356279,0.9223912920225295,0.9223912920225295,0.9220383491578583
100,5,2,1,log2,39954807.60824092,4358.366525383992,6320.981538356279,0.9223912920225295,0.9223912920225295,0.9220383491578583
100,5,2,2,sqrt,39954807.83749854,4358.366435561827,6320.981556490933,0.9223912915772167,0.9223912915772167,0.9220383488128813
100,5,2,2,log2,39954807.83749854,4358.366435561827,6320.981556490933,0.9223912915772167,0.9223912915772167,0.9220383488128813
100,5,2,10,sqrt,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,5,2,10,log2,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,5,5,1,sqrt,39954807.60824092,4358.366525383992,6320.981538356279,0.9223912920225295,0.9223912920225295,0.9220383491578583
100,5,5,1,log2,39954807.60824092,4358.366525383992,6320.981538356279,0.9223912920225295,0.9223912920225295,0.9220383491578583
100,5,5,2,sqrt,39954807.83749854,4358.366435561827,6320.981556490933,0.9223912915772167,0.9223912915772167,0.9220383488128813
100,5,5,2,log2,39954807.83749854,4358.366435561827,6320.981556490933,0.9223912915772167,0.9223912915772167,0.9220383488128813
100,5,5,10,sqrt,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,5,5,10,log2,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,5,20,1,sqrt,40011956.63611815,4361.073147745555,6325.50050479155,0.9222802850503721,0.9222802850503721,0.9219231935031186
100,5,20,1,log2,40011956.63611815,4361.073147745555,6325.50050479155,0.9222802850503721,0.9222802850503721,0.9219231935031186
100,5,20,2,sqrt,40011956.63611815,4361.073147745555,6325.50050479155,0.9222802850503721,0.9222802850503721,0.9219231935031186
100,5,20,2,log2,40011956.63611815,4361.073147745555,6325.50050479155,0.9222802850503721,0.9222802850503721,0.9219231935031186
100,5,20,10,sqrt,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,5,20,10,log2,39938109.946862146,4357.277714741697,6319.660587947912,0.9224237257646353,0.9224237257646353,0.9220722849406219
100,10,2,1,sqrt,17704052.23959978,2459.395388746308,4207.618357170691,0.965611431951994,0.965611431951994,0.9659310922794271
100,10,2,1,log2,17704052.23959978,2459.395388746308,4207.618357170691,0.965611431951994,0.965611431951994,0.9659310922794271
100,10,2,2,sqrt,17478982.17693972,2441.165674608258,4180.787267601608,0.9660486108001247,0.9660486108001247,0.9663731557946708
100,10,2,2,log2,17478982.17693972,2441.165674608258,4180.787267601608,0.9660486108001247,0.9660486108001247,0.9663731557946708
100,10,2,10,sqrt,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,10,2,10,log2,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,10,5,1,sqrt,17360502.73598333,2438.617931619137,4166.593661011754,0.9662787467183019,0.9662787467183019,0.9665680876380831
100,10,5,1,log2,17360502.73598333,2438.617931619137,4166.593661011754,0.9662787467183019,0.9662787467183019,0.9665680876380831
100,10,5,2,sqrt,17231495.36638034,2414.544687429202,4151.0836376036,0.9665293322141109,0.9665293322141109,0.9668449203279813
100,10,5,2,log2,17231495.36638034,2414.544687429202,4151.0836376036,0.9665293322141109,0.9665293322141109,0.9668449203279813
100,10,5,10,sqrt,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,10,5,10,log2,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,10,20,1,sqrt,17680048.283650607,2481.479647935966,4204.764949869446,0.9656580575302179,0.9656580575302179,0.9658760480845066
100,10,20,1,log2,17680048.283650607,2481.479647935966,4204.764949869446,0.9656580575302179,0.9656580575302179,0.9658760480845066
100,10,20,2,sqrt,17601711.726022977,2453.1230402895385,4195.439396061272,0.9658102194198332,0.9658102194198332,0.9660762683759341
100,10,20,2,log2,17601711.726022977,2453.1230402895385,4195.439396061272,0.9658102194198332,0.9658102194198332,0.9660762683759341
100,10,20,10,sqrt,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,10,20,10,log2,17749621.169719752,2491.840997501532,4213.029927465475,0.965522918303644,0.965522918303644,0.9656549021932004
100,20,2,1,sqrt,6152043.23517226,1105.2712466986534,2480.3312752880934,0.9880501958216218,0.9880501958216218,0.9955349280929117
100,20,2,1,log2,6152043.23517226,1105.2712466986534,2480.3312752880934,0.9880501958216218,0.9880501958216218,0.9955349280929117
100,20,2,2,sqrt,6216332.529051795,1138.8037207525144,2493.257413315319,0.9879253195092716,0.9879253195092716,0.9929711092702884
100,20,2,2,log2,6216332.529051795,1138.8037207525144,2493.257413315319,0.9879253195092716,0.9879253195092716,0.9929711092702884
100,20,2,10,sqrt,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
100,20,2,10,log2,7355778.123005523,1344.863179231873,2712.153779380056,0.9857120464227275,0.9857120464227275,0.9872786147702338
100,20,5,1,sqrt,6097136.048226611,1117.6502949030905,2469.2379488875936,0.988156848214478,0.988156848214478,0.9938519788623693
